% Model,stage5_reference_no_cooper_xoffset055_125g_volumetric_skin_solve_only_preview_result.mph
% Version,COMSOL 6.4.0.378
% Date,"Jun 4 2026, 10:51"
% Table,Table 3 - Volume Maximum 1
% Time (s),Displacement magnitude (mm),Displacement magnitude (mm),von Mises stress (N/m^2)
1.7,1.1061769389891083,1.1061769389891083,8409.461327804465
1.705,1.0370377329141038,1.0370377329141038,7974.889639354165
1.71,0.9032247757973839,0.9032247757973839,7184.832431613908
1.7149999999999999,0.7195054192468495,0.7195054192468495,6091.570710814591
1.72,0.5120689778188051,0.5120689778188051,4825.110994198742
1.725,0.3288474853875616,0.3288474853875616,3563.858681002502
1.73,0.19576024967338784,0.19576024967338784,2411.964293648649
1.7349999999999999,0.10141234161041843,0.10141234161041843,1406.4320034255227
1.74,0.053397072892052595,0.053397072892052595,633.2513222335251
1.745,0.05332445551148491,0.05332445551148491,248.32138831053635
1.75,0.04086398427160806,0.04086398427160806,160.52512875804203
1.755,0.024773104866208664,0.024773104866208664,299.0303705252367
1.76,0.07497640470821595,0.07497640470821595,593.4788898359647
1.7650000000000001,0.12367083274570279,0.12367083274570279,830.8902805168204
1.77,0.15452312039157823,0.15452312039157823,813.35532333201
1.775,0.1448154066726664,0.1448154066726664,442.341146655534
1.7799999999999998,0.07964002102565361,0.07964002102565361,470.0041702945602
1.785,0.10286745187281401,0.10286745187281401,1751.19096891153
1.79,0.24729817026924278,0.24729817026924278,3419.1685872076496
1.795,0.48152568706446547,0.48152568706446547,5315.390360905737
1.7999999999999998,0.7656583310001112,0.7656583310001112,7346.239484475768
1.805,1.0743584447857382,1.0743584447857382,9481.639282388382
1.81,1.384425038296122,1.384425038296122,11677.851236828219
1.815,1.6678852595712872,1.6678852595712872,13816.404066154815
1.8199999999999998,1.900073680129852,1.900073680129852,15737.31754535711
1.825,2.067329942796086,2.067329942796086,17319.16978894158
1.83,2.168827493956032,2.168827493956032,18509.828665489273
1.835,2.2159501899189085,2.2159501899189085,19308.34756577525
1.8399999999999999,2.2292269718721784,2.2292269718721784,19802.972896288244
1.845,2.23153312773392,2.23153312773392,20191.228308916267
1.85,2.243977548157183,2.243977548157183,20648.49743299847
1.855,2.280188256719832,2.280188256719832,21091.8285190363
1.8599999999999999,2.338135759412541,2.338135759412541,21337.991733872273
1.865,2.4044571420970366,2.4044571420970366,21516.208929562985
1.87,2.4658626990824533,2.4658626990824533,21766.54303242753
1.875,2.5159994382550956,2.5159994382550956,22103.533862514578
1.88,2.5501705211297923,2.5501705211297923,22453.084040795206
1.885,2.5677923871407993,2.5677923871407993,22681.01903466972
1.8900000000000001,2.5677666429781523,2.5677666429781523,22699.81243912683
1.895,2.5470139537419505,2.5470139537419505,22515.93981817454
1.9,2.5043267818033197,2.5043267818033197,22205.293006904507
1.9000000000000001,2.504326781803318,2.504326781803318,22205.29300690449
1.925,2.271770921529803,2.271770921529803,20643.63989638309
1.9500000000000002,2.3881544785148066,2.3881544785148066,21342.166706521555
1.975,2.5733605071926657,2.5733605071926657,22534.643926349287
2,2.3320981233819404,2.3320981233819404,21337.148116207925
2.0250000000000004,2.2941323065405124,2.2941323065405124,20912.0103688774
2.0500000000000003,2.5390063011260047,2.5390063011260047,22386.491872653747
2.075,2.44978431513133,2.44978431513133,21910.462152809956
2.1,2.252920989966474,2.252920989966474,20676.467290925626
2.125,2.4483368742528566,2.4483368742528566,21747.071905666853
2.1500000000000004,2.5519033622681144,2.5519033622681144,22303.057847149514
2.1750000000000003,2.2866601703903022,2.2866601703903022,20883.70527312467
2.2,2.3482042149989706,2.3482042149989706,21091.512998372233
