case_id,time_s,avg_displacement_mm,avg_vm_kpa
stage5_no_skin_125g,1.585,2.109908,0.233787
stage5_no_skin_125g,1.59,2.034355,0.227433
stage5_no_skin_125g,1.595,1.928516,0.216951
stage5_no_skin_125g,1.6,1.787499,0.201525
stage5_no_skin_125g,1.605,1.611007,0.181229
stage5_no_skin_125g,1.61,1.39854,0.156319
stage5_no_skin_125g,1.615,1.151748,0.127459
stage5_no_skin_125g,1.62,0.871925,0.095356
stage5_no_skin_125g,1.625,0.569434,0.061628
stage5_no_skin_125g,1.63,0.255051,0.028607
stage5_no_skin_125g,1.635,0.096347,0.014935
stage5_no_skin_125g,1.64,0.382781,0.044665
stage5_no_skin_125g,1.645,0.670853,0.076139
stage5_no_skin_125g,1.65,0.927931,0.104856
stage5_no_skin_125g,1.655,1.14369,0.129415
stage5_no_skin_125g,1.66,1.310483,0.148629
stage5_no_skin_125g,1.665,1.417423,0.160872
stage5_no_skin_125g,1.67,1.474306,0.167098
stage5_no_skin_125g,1.675,1.476695,0.166749
stage5_no_skin_125g,1.68,1.429025,0.160452
stage5_no_skin_125g,1.685,1.334464,0.148804
stage5_no_skin_125g,1.69,1.2021,0.133119
stage5_no_skin_125g,1.695,1.041536,0.114656
stage5_no_skin_125g,1.7,0.863884,0.094653
stage5_no_skin_125g,1.705,0.68027,0.07419
stage5_no_skin_125g,1.71,0.503776,0.054484
stage5_no_skin_125g,1.715,0.344359,0.036686
stage5_no_skin_125g,1.72,0.214913,0.023556
stage5_no_skin_125g,1.725,0.137986,0.019785
stage5_no_skin_125g,1.73,0.137342,0.022864
stage5_no_skin_125g,1.735,0.153416,0.026236
stage5_no_skin_125g,1.74,0.152615,0.026633
stage5_no_skin_125g,1.745,0.132949,0.023903
stage5_no_skin_125g,1.75,0.101807,0.018967
stage5_no_skin_125g,1.755,0.084532,0.014449
stage5_no_skin_125g,1.76,0.116217,0.01518
stage5_no_skin_125g,1.765,0.161974,0.020925
stage5_no_skin_125g,1.77,0.204978,0.027647
stage5_no_skin_125g,1.775,0.233119,0.032899
stage5_no_skin_125g,1.78,0.236854,0.035344
stage5_no_skin_125g,1.785,0.213937,0.03455
stage5_no_skin_125g,1.79,0.180899,0.032077
stage5_no_skin_125g,1.795,0.218397,0.033334
stage5_no_skin_125g,1.8,0.396009,0.04354
stage5_no_skin_125g,1.805,0.642707,0.064922
stage5_no_skin_125g,1.81,0.936293,0.096313
stage5_no_skin_125g,1.815,1.267283,0.133685
stage5_no_skin_125g,1.82,1.626173,0.174864
stage5_no_skin_125g,1.825,2.002813,0.218201
stage5_no_skin_125g,1.83,2.386481,0.261997
stage5_no_skin_125g,1.835,2.76441,0.304373
stage5_no_skin_125g,1.84,3.12723,0.344347
stage5_no_skin_125g,1.845,3.46451,0.380855
stage5_no_skin_125g,1.85,3.767039,0.413209
stage5_no_skin_125g,1.855,4.023723,0.440716
stage5_no_skin_125g,1.86,4.220027,0.462374
stage5_no_skin_125g,1.865,4.343197,0.477035
stage5_no_skin_125g,1.87,4.389052,0.483957
stage5_no_skin_125g,1.875,4.352936,0.482009
stage5_no_skin_125g,1.88,4.235922,0.470454
stage5_no_skin_125g,1.885,4.047919,0.449744
stage5_no_skin_125g,1.89,3.804871,0.421558
stage5_no_skin_125g,1.895,3.521392,0.387845
stage5_no_skin_125g,1.9,3.21377,0.351018
stage5_no_skin_125g,1.9,3.21377,0.351018
stage5_no_skin_125g,1.925,1.932088,0.20291
stage5_no_skin_125g,1.95,2.204465,0.230115
stage5_no_skin_125g,1.975,3.599789,0.39886
stage5_no_skin_125g,2,4.347473,0.481629
stage5_no_skin_125g,2.025,3.417572,0.374359
stage5_no_skin_125g,2.05,2.009309,0.207235
stage5_no_skin_125g,2.075,2.03612,0.216833
stage5_no_skin_125g,2.1,3.506973,0.379865
stage5_no_skin_125g,2.125,4.359276,0.486129
stage5_no_skin_125g,2.15,3.513456,0.385174
stage5_no_skin_125g,2.175,2.131145,0.225351
stage5_no_skin_125g,2.2,1.999696,0.207877
stage5_volumetric_skin_125g,0,0,0
stage5_volumetric_skin_125g,0.025,0.017844,0.006884
stage5_volumetric_skin_125g,0.05,0.07856,0.031948
stage5_volumetric_skin_125g,0.075,0.118127,0.047895
stage5_volumetric_skin_125g,0.1,0.124553,0.050079
stage5_volumetric_skin_125g,0.125,0.169533,0.068383
stage5_volumetric_skin_125g,0.15,0.22763,0.092274
stage5_volumetric_skin_125g,0.175,0.241772,0.097557
stage5_volumetric_skin_125g,0.2,0.263781,0.10636
stage5_volumetric_skin_125g,0.225,0.326562,0.132016
stage5_volumetric_skin_125g,0.25,0.360243,0.145786
stage5_volumetric_skin_125g,0.275,0.368242,0.148385
stage5_volumetric_skin_125g,0.3,0.417593,0.168709
stage5_volumetric_skin_125g,0.325,0.472782,0.191224
stage5_volumetric_skin_125g,0.35,0.484176,0.195535
stage5_volumetric_skin_125g,0.375,0.510283,0.205834
stage5_volumetric_skin_125g,0.4,0.571656,0.231169
stage5_volumetric_skin_125g,0.425,0.604758,0.244394
stage5_volumetric_skin_125g,0.45,0.613481,0.247612
stage5_volumetric_skin_125g,0.475,0.662753,0.2676
stage5_volumetric_skin_125g,0.5,0.717297,0.290128
stage5_volumetric_skin_125g,0.525,0.729539,0.294517
stage5_volumetric_skin_125g,0.55,0.754308,0.304523
stage5_volumetric_skin_125g,0.575,0.817456,0.330349
stage5_volumetric_skin_125g,0.6,0.849375,0.343323
stage5_volumetric_skin_125g,0.625,0.858666,0.346533
stage5_volumetric_skin_125g,0.65,0.907596,0.366625
stage5_volumetric_skin_125g,0.675,0.962231,0.388941
stage5_volumetric_skin_125g,0.7,0.974108,0.393442
stage5_volumetric_skin_125g,0.725,1.000439,0.403814
stage5_volumetric_skin_125g,0.75,1.062009,0.429283
stage5_volumetric_skin_125g,0.775,1.094187,0.442058
stage5_volumetric_skin_125g,0.8,1.103106,0.445406
stage5_volumetric_skin_125g,0.825,1.15327,0.465756
stage5_volumetric_skin_125g,0.85,1.207469,0.488109
stage5_volumetric_skin_125g,0.875,1.218962,0.492259
stage5_volumetric_skin_125g,0.9,1.24502,0.502701
stage5_volumetric_skin_125g,0.925,1.307449,0.528321
stage5_volumetric_skin_125g,0.95,1.338618,0.540922
stage5_volumetric_skin_125g,0.975,1.348667,0.544459
stage5_volumetric_skin_125g,1,1.398155,0.56483
stage5_volumetric_skin_125g,1.025,1.434366,0.579946
stage5_volumetric_skin_125g,1.05,1.385642,0.559513
stage5_volumetric_skin_125g,1.075,1.371644,0.553582
stage5_volumetric_skin_125g,1.1,1.426868,0.576865
stage5_volumetric_skin_125g,1.125,1.41652,0.572433
stage5_volumetric_skin_125g,1.15,1.364414,0.550626
stage5_volumetric_skin_125g,1.175,1.399029,0.56504
stage5_volumetric_skin_125g,1.2,1.434573,0.580158
stage5_volumetric_skin_125g,1.2,1.434573,0.580158
stage5_volumetric_skin_125g,1.205,1.429696,0.578056
stage5_volumetric_skin_125g,1.21,1.421145,0.574401
stage5_volumetric_skin_125g,1.215,1.410481,0.569852
stage5_volumetric_skin_125g,1.22,1.397566,0.56441
stage5_volumetric_skin_125g,1.225,1.385443,0.559327
stage5_volumetric_skin_125g,1.23,1.374526,0.554788
stage5_volumetric_skin_125g,1.235,1.368004,0.552103
stage5_volumetric_skin_125g,1.24,1.363903,0.55043
stage5_volumetric_skin_125g,1.245,1.366118,0.551368
stage5_volumetric_skin_125g,1.25,1.373885,0.5545
stage5_volumetric_skin_125g,1.255,1.386547,0.559568
stage5_volumetric_skin_125g,1.26,1.415142,0.570649
stage5_volumetric_skin_125g,1.265,1.466248,0.59026
stage5_volumetric_skin_125g,1.27,1.546088,0.621224
stage5_volumetric_skin_125g,1.275,1.655935,0.66477
stage5_volumetric_skin_125g,1.28,1.79088,0.719418
stage5_volumetric_skin_125g,1.285,1.94441,0.782663
stage5_volumetric_skin_125g,1.29,2.107789,0.8507
stage5_volumetric_skin_125g,1.295,2.270997,0.918923
stage5_volumetric_skin_125g,1.3,2.423847,0.982571
stage5_volumetric_skin_125g,1.305,2.557146,1.037455
stage5_volumetric_skin_125g,1.31,2.663772,1.080628
stage5_volumetric_skin_125g,1.315,2.739527,1.110677
stage5_volumetric_skin_125g,1.32,2.783697,1.127617
stage5_volumetric_skin_125g,1.325,2.799219,1.13277
